stationno,O_LINENO,O_TERMINALNO,O_TIME,O_LONGITUDE,O_LATITUDE,O_UP,sub_time_stamp,time_stamp
21,1.0,901530.0,2017-10-01 09:15:26,117.213,39.165,0.0,76.23076923076924,1506820526.1304348
22,1.0,901530.0,2017-10-01 09:16:53,117.21799999999999,39.1653,0.0,86.8695652173913,1506820613.0
23,1.0,901530.0,2017-10-01 09:18:33,117.22,39.167,0.0,100.0,1506820713.0
24,1.0,901530.0,2017-10-01 09:21:14,117.215,39.1698,0.0,161.0,1506820874.0
25,1.0,901530.0,2017-10-01 09:22:22,117.21799999999999,39.1729,0.0,68.0,1506820942.0
26,1.0,901530.0,2017-10-01 09:23:36,117.22,39.1741,0.0,74.0,1506821016.0
27,1.0,901530.0,2017-10-01 09:25:26,117.225,39.1768,0.0,110.0,1506821126.0
28,1.0,901530.0,2017-10-01 09:26:46,117.23,39.1772,0.0,80.0,1506821206.0
29,1.0,901530.0,2017-10-01 09:27:36,117.23100000000001,39.175,0.0,70.1111111111111,1506821256.0
30,1.0,901530.0,2017-10-01 09:28:46,117.23299999999999,39.1729,0.0,70.0,1506821326.0
31,1.0,901530.0,2017-10-01 09:34:56,117.234,39.1724,0.0,370.0,1506821696.0
2,1.0,901530.0,2017-10-01 13:11:57,117.199,39.1258,0.0,80.0,1506834717.0
3,1.0,901530.0,2017-10-01 13:16:07,117.195,39.1222,0.0,250.0,1506834967.0
4,1.0,901530.0,2017-10-01 13:17:45,117.19200000000001,39.1206,0.0,98.0,1506835065.0
5,1.0,901530.0,2017-10-01 13:21:25,117.186,39.1229,0.0,220.0,1506835285.0
6,1.0,901530.0,2017-10-01 13:24:23,117.178,39.1251,0.0,178.0,1506835463.0
7,1.0,901530.0,2017-10-01 13:27:11,117.179,39.1289,0.0,168.0,1506835631.0
8,1.0,901530.0,2017-10-01 13:27:51,117.18299999999999,39.1296,0.0,74.0,1506835671.0
9,1.0,901530.0,2017-10-01 13:31:52,117.186,39.1327,0.0,241.0,1506835912.0
10,1.0,901530.0,2017-10-01 13:33:18,117.186,39.1347,0.0,86.0,1506835998.0
11,1.0,901530.0,2017-10-01 13:34:25,117.182,39.1359,0.0,67.0,1506836065.0
12,1.0,901530.0,2017-10-01 13:36:36,117.18,39.1395,0.0,131.0,1506836196.0
13,1.0,901530.0,2017-10-01 13:37:46,117.18,39.1424,0.0,70.0,1506836266.0
14,1.0,901530.0,2017-10-01 13:38:36,117.18299999999999,39.1431,0.0,80.34285714285714,1506836316.0
15,1.0,901530.0,2017-10-01 13:41:31,117.189,39.1516,0.0,175.0,1506836491.0
16,1.0,901530.0,2017-10-01 13:44:51,117.19200000000001,39.1554,0.0,200.0,1506836691.0
17,1.0,901530.0,2017-10-01 13:45:43,117.195,39.1573,0.0,75.85714285714286,1506836743.0
18,1.0,901530.0,2017-10-01 13:46:53,117.196,39.1592,0.0,70.0,1506836813.0
19,1.0,901530.0,2017-10-01 13:49:34,117.2,39.163000000000004,0.0,161.0,1506836974.0
20,1.0,901530.0,2017-10-01 13:52:08,117.211,39.165,0.0,154.0,1506837128.0
21,1.0,901530.0,2017-10-01 13:52:21,117.213,39.165,0.0,76.23076923076924,1506837141.1304348
22,1.0,901530.0,2017-10-01 13:53:48,117.21799999999999,39.1653,0.0,86.86956521739128,1506837228.0
23,1.0,901530.0,2017-10-01 13:55:49,117.22,39.1668,0.0,121.0,1506837349.0
24,1.0,901530.0,2017-10-01 13:58:29,117.21600000000001,39.17,0.0,160.0,1506837509.0
25,1.0,901530.0,2017-10-01 13:59:29,117.21799999999999,39.1729,0.0,77.59090909090908,1506837569.0
26,1.0,901530.0,2017-10-01 14:00:30,117.221,39.1743,0.0,61.0,1506837630.0
27,1.0,901530.0,2017-10-01 14:01:49,117.225,39.1768,0.0,79.0,1506837709.0
28,1.0,901530.0,2017-10-01 14:02:02,117.2295,39.1774,0.0,78.85185185185186,1506837722.984127
29,1.0,901530.0,2017-10-01 14:03:13,117.23100000000001,39.175,0.0,70.1111111111111,1506837793.0952382
30,1.0,901530.0,2017-10-01 14:04:49,117.23299999999999,39.173,0.0,95.90476190476191,1506837889.0
31,1.0,901530.0,2017-10-01 14:10:10,117.23299999999999,39.1727,0.0,321.0,1506838210.0
2,1.0,901530.0,2017-10-01 16:28:16,117.199,39.1257,0.0,110.0,1506846496.0
3,1.0,901530.0,2017-10-01 16:33:16,117.195,39.1224,0.0,300.0,1506846796.0
4,1.0,901530.0,2017-10-01 16:35:25,117.19200000000001,39.1206,0.0,129.0,1506846925.0
5,1.0,901530.0,2017-10-01 16:40:15,117.18700000000001,39.1227,0.0,290.0,1506847215.0
6,1.0,901530.0,2017-10-01 16:44:39,117.178,39.1254,0.0,264.0,1506847479.0
7,1.0,901530.0,2017-10-01 16:47:08,117.179,39.1288,0.0,149.0,1506847628.0
8,1.0,901530.0,2017-10-01 16:47:55,117.18299999999999,39.1296,0.0,74.0,1506847675.0
9,1.0,901530.0,2017-10-01 16:50:25,117.186,39.1325,0.0,150.0,1506847825.0
10,1.0,901530.0,2017-10-01 16:51:50,117.186,39.1348,0.0,85.0,1506847910.0
11,1.0,901530.0,2017-10-01 16:53:14,117.181,39.135999999999996,0.0,84.0,1506847994.0
12,1.0,901530.0,2017-10-01 16:55:44,117.18,39.1394,0.0,150.0,1506848144.0
13,1.0,901530.0,2017-10-01 16:57:24,117.18,39.1424,0.0,100.0,1506848244.0
14,1.0,901530.0,2017-10-01 16:58:20,117.18299999999999,39.1431,0.0,80.34285714285714,1506848300.0
15,1.0,901530.0,2017-10-01 17:03:02,117.189,39.1518,0.0,282.0,1506848582.0
16,1.0,901530.0,2017-10-01 17:05:02,117.193,39.1555,0.0,120.0,1506848702.0
17,1.0,901530.0,2017-10-01 17:05:59,117.195,39.1573,0.0,75.85714285714286,1506848759.0
18,1.0,901530.0,2017-10-01 17:07:29,117.197,39.1593,0.0,90.0,1506848849.0
19,1.0,901530.0,2017-10-01 17:09:29,117.2,39.1628,0.0,120.0,1506848969.0
20,1.0,901530.0,2017-10-01 17:12:21,117.211,39.165,0.0,172.0,1506849141.0
21,1.0,901530.0,2017-10-01 17:12:54,117.213,39.165,0.0,76.23076923076924,1506849174.1304348
22,1.0,901530.0,2017-10-01 17:14:21,117.21799999999999,39.1653,0.0,86.8695652173913,1506849261.0
23,1.0,901530.0,2017-10-01 17:16:11,117.22,39.167,0.0,110.0,1506849371.0
24,1.0,901530.0,2017-10-01 17:18:51,117.215,39.1699,0.0,160.0,1506849531.0
25,1.0,901530.0,2017-10-01 17:19:25,117.21799999999999,39.1729,0.0,77.59090909090908,1506849565.3333333
26,1.0,901530.0,2017-10-01 17:20:40,117.221,39.1743,0.0,74.66666666666667,1506849640.0
27,1.0,901530.0,2017-10-01 17:22:40,117.225,39.1767,0.0,120.0,1506849760.0
28,1.0,901530.0,2017-10-01 17:24:00,117.23,39.1773,0.0,80.0,1506849840.0
29,1.0,901530.0,2017-10-01 17:25:00,117.23100000000001,39.175,0.0,70.1111111111111,1506849900.0
30,1.0,901530.0,2017-10-01 17:26:10,117.23299999999999,39.1729,0.0,70.0,1506849970.0
31,1.0,901530.0,2017-10-01 17:44:55,117.234,39.1723,0.0,1125.0,1506851095.0
2,1.0,901530.0,2017-10-02 05:59:33,117.199,39.1258,0.0,175.14893617021272,1506895173.0
3,1.0,901530.0,2017-10-02 06:02:20,117.195,39.1224,0.0,167.0,1506895340.0
4,1.0,901530.0,2017-10-02 06:03:56,117.19200000000001,39.1205,0.0,96.0,1506895436.0
5,1.0,901530.0,2017-10-02 06:05:26,117.18700000000001,39.1227,0.0,90.0,1506895526.0
6,1.0,901530.0,2017-10-02 06:08:19,117.178,39.1251,0.0,173.0,1506895699.0
7,1.0,901530.0,2017-10-02 06:09:30,117.179,39.1287,0.0,71.0,1506895770.0
8,1.0,901530.0,2017-10-02 06:10:10,117.18299999999999,39.1296,0.0,74.0,1506895810.0
9,1.0,901530.0,2017-10-02 06:11:30,117.186,39.1331,0.0,80.0,1506895890.0
10,1.0,901530.0,2017-10-02 06:11:50,117.186,39.1347,0.0,88.34146341463418,1506895910.0
11,1.0,901530.0,2017-10-02 06:14:00,117.182,39.1358,0.0,130.0,1506896040.0
12,1.0,901530.0,2017-10-02 06:15:50,117.18,39.1396,0.0,110.0,1506896150.0
13,1.0,901530.0,2017-10-02 06:19:25,117.18,39.1421,0.0,215.0,1506896365.0
14,1.0,901530.0,2017-10-02 06:20:22,117.18299999999999,39.1431,0.0,80.34285714285716,1506896422.0
15,1.0,901530.0,2017-10-02 06:23:24,117.189,39.150999999999996,0.0,182.0,1506896604.0
17,1.0,901530.0,2017-10-02 06:25:32,117.195,39.1573,0.0,75.85714285714282,1506896732.548387
16,1.0,901530.0,2017-10-02 06:25:54,117.193,39.1558,0.0,150.0,1506896754.0
18,1.0,901530.0,2017-10-02 06:27:05,117.197,39.1592,0.0,92.45161290322581,1506896825.0
19,1.0,901530.0,2017-10-02 06:28:26,117.2,39.1628,0.0,81.0,1506896906.0
20,1.0,901530.0,2017-10-02 06:30:46,117.21,39.165,0.0,140.0,1506897046.0
21,1.0,901530.0,2017-10-02 06:31:26,117.213,39.165,0.0,76.2307692307692,1506897086.0
22,1.0,901530.0,2017-10-02 06:32:36,117.21799999999999,39.1653,0.0,70.0,1506897156.0
23,1.0,901530.0,2017-10-02 06:34:05,117.22,39.167,0.0,89.0,1506897245.0
24,1.0,901530.0,2017-10-02 06:35:45,117.215,39.1697,0.0,100.0,1506897345.0
25,1.0,901530.0,2017-10-02 06:35:45,117.21799999999999,39.1729,0.0,77.59090909090908,1506897345.3333333
26,1.0,901530.0,2017-10-02 06:37:00,117.221,39.1743,0.0,74.66666666666664,1506897420.0
28,1.0,901530.0,2017-10-02 06:37:55,117.2295,39.1774,0.0,78.85185185185185,1506897475.984127
27,1.0,901530.0,2017-10-02 06:38:31,117.225,39.1766,0.0,91.0,1506897511.0
29,1.0,901530.0,2017-10-02 06:39:06,117.23100000000001,39.175,0.0,70.11111111111114,1506897546.0952382
30,1.0,901530.0,2017-10-02 06:40:42,117.23299999999999,39.173,0.0,95.90476190476193,1506897642.0
31,1.0,901530.0,2017-10-02 06:45:52,117.234,39.1723,0.0,310.0,1506897952.0
2,1.0,901530.0,2017-10-02 08:20:22,117.199,39.1258,0.0,70.0,1506903622.0
3,1.0,901530.0,2017-10-02 08:22:13,117.195,39.1225,0.0,111.0,1506903733.0
4,1.0,901530.0,2017-10-02 08:23:42,117.19200000000001,39.1209,0.0,89.0,1506903822.0
5,1.0,901530.0,2017-10-02 08:25:24,117.186,39.1229,0.0,102.0,1506903924.0
6,1.0,901530.0,2017-10-02 08:27:43,117.178,39.1251,0.0,139.0,1506904063.0
7,1.0,901530.0,2017-10-02 08:29:33,117.179,39.1287,0.0,110.0,1506904173.0
8,1.0,901530.0,2017-10-02 08:30:23,117.18299999999999,39.1296,0.0,74.0,1506904223.0
9,1.0,901530.0,2017-10-02 08:32:43,117.186,39.1323,0.0,140.0,1506904363.0
10,1.0,901530.0,2017-10-02 08:34:01,117.186,39.1346,0.0,78.0,1506904441.0
11,1.0,901530.0,2017-10-02 08:36:26,117.181,39.135999999999996,0.0,145.0,1506904586.0
12,1.0,901530.0,2017-10-02 08:38:36,117.18,39.1392,0.0,130.0,1506904716.0
13,1.0,901530.0,2017-10-02 08:39:56,117.18,39.141999999999996,0.0,80.0,1506904796.0
14,1.0,901530.0,2017-10-02 08:41:26,117.18299999999999,39.1431,0.0,90.0,1506904886.0
15,1.0,901530.0,2017-10-02 08:45:10,117.189,39.1516,0.0,224.0,1506905110.0
16,1.0,901530.0,2017-10-02 08:48:00,117.19200000000001,39.1554,0.0,170.0,1506905280.0
17,1.0,901530.0,2017-10-02 08:49:10,117.194,39.1572,0.0,70.0,1506905350.0
18,1.0,901530.0,2017-10-02 08:51:10,117.197,39.1594,0.0,120.0,1506905470.0
19,1.0,901530.0,2017-10-02 08:54:00,117.2,39.1628,0.0,170.0,1506905640.0
20,1.0,901530.0,2017-10-02 08:56:50,117.211,39.165,0.0,170.0,1506905810.0
21,1.0,901530.0,2017-10-02 08:57:12,117.213,39.165,0.0,76.2307692307692,1506905832.1304348
22,1.0,901530.0,2017-10-02 08:58:39,117.21799999999999,39.1653,0.0,86.86956521739133,1506905919.0
23,1.0,901530.0,2017-10-02 09:00:24,117.22,39.1672,0.0,105.0,1506906024.0
24,1.0,901530.0,2017-10-02 09:03:04,117.21600000000001,39.17,0.0,160.0,1506906184.0
25,1.0,901530.0,2017-10-02 09:03:49,117.21799999999999,39.1729,0.0,77.59090909090905,1506906229.3333333
26,1.0,901530.0,2017-10-02 09:05:04,117.221,39.1743,0.0,74.66666666666664,1506906304.0
27,1.0,901530.0,2017-10-02 09:06:34,117.225,39.1767,0.0,90.0,1506906394.0
28,1.0,901530.0,2017-10-02 09:07:44,117.229,39.1776,0.0,70.0,1506906464.0
29,1.0,901530.0,2017-10-02 09:08:54,117.23100000000001,39.1751,0.0,70.0,1506906534.0
30,1.0,901530.0,2017-10-02 09:10:24,117.23299999999999,39.1729,0.0,90.0,1506906624.0
31,1.0,901530.0,2017-10-02 09:16:14,117.234,39.1723,0.0,350.0,1506906974.0
2,1.0,901530.0,2017-10-02 11:04:33,117.199,39.1258,0.0,175.14893617021272,1506913473.0
3,1.0,901530.0,2017-10-02 11:07:20,117.195,39.1224,0.0,167.0,1506913640.0
4,1.0,901530.0,2017-10-02 11:09:30,117.19200000000001,39.1207,0.0,130.0,1506913770.0
5,1.0,901530.0,2017-10-02 11:13:33,117.18700000000001,39.1228,0.0,182.4705882352941,1506914013.2451346
6,1.0,901530.0,2017-10-02 11:17:45,117.178,39.1252,0.0,251.9142857142857,1506914265.1594203
7,1.0,901530.0,2017-10-02 11:19:56,117.179,39.1288,0.0,130.84057971014494,1506914396.0
8,1.0,901530.0,2017-10-02 11:21:10,117.18299999999999,39.1296,0.0,74.0,1506914470.0
9,1.0,901530.0,2017-10-02 11:23:40,117.186,39.1327,0.0,150.0,1506914620.0
10,1.0,901530.0,2017-10-02 11:25:00,117.186,39.1347,0.0,80.0,1506914700.0
11,1.0,901530.0,2017-10-02 11:28:20,117.181,39.1359,0.0,200.0,1506914900.0
12,1.0,901530.0,2017-10-02 11:30:50,117.18,39.1394,0.0,150.0,1506915050.0
13,1.0,901530.0,2017-10-02 11:32:10,117.18,39.1422,0.0,80.0,1506915130.0
14,1.0,901530.0,2017-10-02 11:34:20,117.18299999999999,39.1431,0.0,130.0,1506915260.0
15,1.0,901530.0,2017-10-02 11:38:51,117.189,39.1516,0.0,271.0,1506915531.0
16,1.0,901530.0,2017-10-02 11:40:47,117.19200000000001,39.1554,0.0,116.0,1506915647.0
17,1.0,901530.0,2017-10-02 11:41:47,117.195,39.1573,0.0,75.8571428571428,1506915707.0
18,1.0,901530.0,2017-10-02 11:43:59,117.197,39.1592,0.0,132.0,1506915839.0
19,1.0,901530.0,2017-10-02 11:45:45,117.2,39.1628,0.0,106.0,1506915945.0
20,1.0,901530.0,2017-10-02 11:48:30,117.211,39.165,0.0,165.0,1506916110.0
21,1.0,901530.0,2017-10-02 11:49:20,117.213,39.165,0.0,76.2307692307692,1506916160.0
22,1.0,901530.0,2017-10-02 11:50:40,117.21799999999999,39.1653,0.0,80.0,1506916240.0
23,1.0,901530.0,2017-10-02 11:52:20,117.22,39.1669,0.0,100.0,1506916340.0
24,1.0,901530.0,2017-10-02 11:54:30,117.215,39.1697,0.0,130.0,1506916470.0
25,1.0,901530.0,2017-10-02 11:55:30,117.21799999999999,39.1729,0.0,77.59090909090907,1506916530.0
26,1.0,901530.0,2017-10-02 11:56:35,117.221,39.1743,0.0,65.0,1506916595.0
27,1.0,901530.0,2017-10-02 11:58:25,117.225,39.1766,0.0,110.0,1506916705.0
28,1.0,901530.0,2017-10-02 11:59:55,117.23,39.1773,0.0,90.0,1506916795.0
29,1.0,901530.0,2017-10-02 12:00:09,117.23100000000001,39.175,0.0,70.11111111111116,1506916809.0952382
30,1.0,901530.0,2017-10-02 12:01:45,117.23299999999999,39.173,0.0,95.90476190476191,1506916905.0
31,1.0,901530.0,2017-10-02 12:03:35,117.234,39.1722,0.0,110.0,1506917015.0
2,1.0,901530.0,2017-10-03 06:00:46,117.199,39.1258,0.0,175.14893617021272,1506981646.0
3,1.0,901530.0,2017-10-03 06:03:33,117.195,39.1224,0.0,167.0,1506981813.0
4,1.0,901530.0,2017-10-03 06:04:49,117.191,39.1207,0.0,76.0,1506981889.0
5,1.0,901530.0,2017-10-03 06:06:14,117.18700000000001,39.1227,0.0,85.0,1506981974.0
6,1.0,901530.0,2017-10-03 06:08:30,117.178,39.1252,0.0,136.0,1506982110.0
7,1.0,901530.0,2017-10-03 06:10:26,117.179,39.1287,0.0,116.0,1506982226.0
8,1.0,901530.0,2017-10-03 06:11:06,117.18299999999999,39.1296,0.0,74.0,1506982266.0
9,1.0,901530.0,2017-10-03 06:12:26,117.186,39.1326,0.0,80.0,1506982346.0
10,1.0,901530.0,2017-10-03 06:13:04,117.186,39.1347,0.0,88.34146341463416,1506982384.0
11,1.0,901530.0,2017-10-03 06:15:18,117.181,39.1358,0.0,134.0,1506982518.0
12,1.0,901530.0,2017-10-03 06:16:58,117.18,39.1398,0.0,100.0,1506982618.0
13,1.0,901530.0,2017-10-03 06:17:06,117.18,39.1422,0.0,87.55319148936172,1506982626.6571429
14,1.0,901530.0,2017-10-03 06:18:27,117.18299999999999,39.1431,0.0,80.34285714285714,1506982707.0
15,1.0,901530.0,2017-10-03 06:21:28,117.189,39.1515,0.0,181.0,1506982888.0
16,1.0,901530.0,2017-10-03 06:23:38,117.19200000000001,39.1554,0.0,130.0,1506983018.0
17,1.0,901530.0,2017-10-03 06:24:22,117.195,39.1573,0.0,75.85714285714283,1506983062.0
18,1.0,901530.0,2017-10-03 06:25:33,117.197,39.1594,0.0,71.0,1506983133.0
19,1.0,901530.0,2017-10-03 06:27:22,117.2,39.1629,0.0,109.0,1506983242.0
20,1.0,901530.0,2017-10-03 06:29:52,117.211,39.165,0.0,150.0,1506983392.0
21,1.0,901530.0,2017-10-03 06:29:54,117.213,39.165,0.0,76.23076923076921,1506983394.1304348
22,1.0,901530.0,2017-10-03 06:31:21,117.21799999999999,39.1653,0.0,86.86956521739133,1506983481.0
23,1.0,901530.0,2017-10-03 06:32:52,117.22,39.1671,0.0,91.0,1506983572.0
25,1.0,901530.0,2017-10-03 06:34:21,117.21799999999999,39.1729,0.0,77.59090909090907,1506983661.3333333
24,1.0,901530.0,2017-10-03 06:34:32,117.215,39.1698,0.0,100.0,1506983672.0
26,1.0,901530.0,2017-10-03 06:35:36,117.221,39.1743,0.0,74.66666666666666,1506983736.0
28,1.0,901530.0,2017-10-03 06:36:20,117.2295,39.1774,0.0,78.85185185185185,1506983780.984127
27,1.0,901530.0,2017-10-03 06:37:17,117.225,39.1765,0.0,101.0,1506983837.0
29,1.0,901530.0,2017-10-03 06:37:31,117.23100000000001,39.175,0.0,70.11111111111113,1506983851.0952382
30,1.0,901530.0,2017-10-03 06:39:07,117.23299999999999,39.173,0.0,95.90476190476193,1506983947.0
31,1.0,901530.0,2017-10-03 06:49:46,117.23299999999999,39.1726,0.0,639.0,1506984586.0
2,1.0,901530.0,2017-10-03 08:15:27,117.199,39.1258,0.0,175.14893617021272,1506989727.0
3,1.0,901530.0,2017-10-03 08:17:09,117.195,39.1225,0.0,102.0,1506989829.0
4,1.0,901530.0,2017-10-03 08:18:53,117.19200000000001,39.1207,0.0,104.0,1506989933.0
5,1.0,901530.0,2017-10-03 08:20:03,117.186,39.1228,0.0,70.0,1506990003.0
6,1.0,901530.0,2017-10-03 08:23:32,117.178,39.1254,0.0,209.0,1506990212.0
7,1.0,901530.0,2017-10-03 08:25:18,117.179,39.1287,0.0,106.0,1506990318.0
8,1.0,901530.0,2017-10-03 08:26:07,117.18299999999999,39.1296,0.0,74.0,1506990367.0
9,1.0,901530.0,2017-10-03 08:28:08,117.186,39.1326,0.0,121.0,1506990488.0
10,1.0,901530.0,2017-10-03 08:29:28,117.186,39.1347,0.0,80.0,1506990568.0
11,1.0,901530.0,2017-10-03 08:32:08,117.181,39.135999999999996,0.0,160.0,1506990728.0
12,1.0,901530.0,2017-10-03 08:33:57,117.18,39.1395,0.0,109.0,1506990837.0
13,1.0,901530.0,2017-10-03 08:35:18,117.18,39.1424,0.0,81.0,1506990918.0
14,1.0,901530.0,2017-10-03 08:36:14,117.18299999999999,39.1431,0.0,80.34285714285716,1506990974.0
15,1.0,901530.0,2017-10-03 08:40:09,117.189,39.1516,0.0,235.0,1506991209.0
16,1.0,901530.0,2017-10-03 08:42:28,117.19200000000001,39.1555,0.0,139.0,1506991348.0
17,1.0,901530.0,2017-10-03 08:43:20,117.195,39.1573,0.0,75.85714285714283,1506991400.0
18,1.0,901530.0,2017-10-03 08:44:47,117.197,39.1593,0.0,87.0,1506991487.0
19,1.0,901530.0,2017-10-03 08:47:30,117.2,39.163000000000004,0.0,163.0,1506991650.0
21,1.0,901530.0,2017-10-03 08:50:05,117.213,39.165,0.0,76.23076923076921,1506991805.1304348
20,1.0,901530.0,2017-10-03 08:50:14,117.211,39.165,0.0,164.0,1506991814.0
22,1.0,901530.0,2017-10-03 08:51:32,117.21799999999999,39.1653,0.0,86.86956521739133,1506991892.0
23,1.0,901530.0,2017-10-03 08:52:52,117.22,39.1668,0.0,80.0,1506991972.0
24,1.0,901530.0,2017-10-03 08:55:12,117.21600000000001,39.1701,0.0,140.0,1506992112.0
25,1.0,901530.0,2017-10-03 08:55:13,117.21799999999999,39.1729,0.0,77.59090909090907,1506992113.3333333
26,1.0,901530.0,2017-10-03 08:56:28,117.221,39.1743,0.0,74.66666666666666,1506992188.0
27,1.0,901530.0,2017-10-03 08:57:59,117.225,39.1765,0.0,91.0,1506992279.0
28,1.0,901530.0,2017-10-03 08:59:29,117.229,39.1776,0.0,90.0,1506992369.0
29,1.0,901530.0,2017-10-03 08:59:43,117.23100000000001,39.175,0.0,70.11111111111113,1506992383.0952382
30,1.0,901530.0,2017-10-03 09:01:19,117.23299999999999,39.173,0.0,95.90476190476191,1506992479.0
31,1.0,901530.0,2017-10-03 09:04:29,117.234,39.1722,0.0,190.0,1506992669.0
2,1.0,901530.0,2017-10-03 10:39:42,117.199,39.1259,0.0,340.0,1506998382.0
3,1.0,901530.0,2017-10-03 10:46:42,117.195,39.1224,0.0,420.0,1506998802.0
4,1.0,901530.0,2017-10-03 10:48:22,117.19200000000001,39.1207,0.0,100.0,1506998902.0
5,1.0,901530.0,2017-10-03 10:51:42,117.186,39.1228,0.0,200.0,1506999102.0
6,1.0,901530.0,2017-10-03 10:55:18,117.178,39.125,0.0,216.0,1506999318.0
7,1.0,901530.0,2017-10-03 10:58:23,117.179,39.1288,0.0,185.0,1506999503.0
8,1.0,901530.0,2017-10-03 10:59:02,117.18299999999999,39.1296,0.0,74.0,1506999542.0
9,1.0,901530.0,2017-10-03 11:03:33,117.186,39.1325,0.0,271.0,1506999813.0
10,1.0,901530.0,2017-10-03 11:05:23,117.185,39.1347,0.0,110.0,1506999923.0
11,1.0,901530.0,2017-10-03 11:07:38,117.181,39.1358,0.0,135.0,1507000058.0
12,1.0,901530.0,2017-10-03 11:10:28,117.179,39.1402,0.0,170.0,1507000228.0
13,1.0,901530.0,2017-10-03 11:10:57,117.18,39.1422,0.0,87.55319148936172,1507000257.0
14,1.0,901530.0,2017-10-03 11:13:27,117.182,39.1433,0.0,150.0,1507000407.0
15,1.0,901530.0,2017-10-03 11:18:37,117.189,39.1517,0.0,310.0,1507000717.0
17,1.0,901530.0,2017-10-03 11:20:32,117.195,39.1573,0.0,75.85714285714283,1507000832.2807815
16,1.0,901530.0,2017-10-03 11:20:57,117.19200000000001,39.1557,0.0,140.0,1507000857.0
18,1.0,901530.0,2017-10-03 11:22:04,117.197,39.1592,0.0,92.45161290322582,1507000924.7323945
19,1.0,901530.0,2017-10-03 11:24:36,117.2,39.1628,0.0,151.26760563380282,1507001076.0
20,1.0,901530.0,2017-10-03 11:27:09,117.211,39.165,0.0,153.0,1507001229.0
21,1.0,901530.0,2017-10-03 11:28:19,117.213,39.1651,0.0,70.0,1507001299.0
22,1.0,901530.0,2017-10-03 11:29:04,117.21799999999999,39.1653,0.0,86.86956521739131,1507001344.0
23,1.0,901530.0,2017-10-03 11:31:04,117.22,39.167,0.0,120.0,1507001464.0
24,1.0,901530.0,2017-10-03 11:32:54,117.215,39.17,0.0,110.0,1507001574.0
25,1.0,901530.0,2017-10-03 11:33:22,117.21799999999999,39.1729,0.0,77.59090909090908,1507001602.3333333
26,1.0,901530.0,2017-10-03 11:34:37,117.221,39.1743,0.0,74.66666666666666,1507001677.0
27,1.0,901530.0,2017-10-03 11:35:47,117.225,39.1767,0.0,70.0,1507001747.0
28,1.0,901530.0,2017-10-03 11:36:57,117.23,39.1773,0.0,70.0,1507001817.0
29,1.0,901530.0,2017-10-03 11:37:01,117.23100000000001,39.175,0.0,70.11111111111113,1507001821.0952382
30,1.0,901530.0,2017-10-03 11:38:37,117.23299999999999,39.173,0.0,95.90476190476191,1507001917.0
31,1.0,901530.0,2017-10-03 11:45:27,117.234,39.1725,0.0,410.0,1507002327.0
2,1.0,901530.0,2017-10-04 08:09:29,117.199,39.1258,0.0,175.14893617021278,1507075769.0
3,1.0,901530.0,2017-10-04 08:11:09,117.195,39.1226,0.0,100.0,1507075869.0
4,1.0,901530.0,2017-10-04 08:12:46,117.19200000000001,39.1207,0.0,97.0,1507075966.0
5,1.0,901530.0,2017-10-04 08:15:05,117.186,39.1229,0.0,139.0,1507076105.0
6,1.0,901530.0,2017-10-04 08:17:42,117.178,39.1252,0.0,157.0,1507076262.0
