stationno,weekday,hour,sub_time_stamp
25,3,11,77.59090909
26,3,11,74.66666667
27,3,11,63
28,3,11,80
29,3,11,70.11111111
30,3,11,61
31,3,11,119
2,3,13,520
3,3,13,531
4,3,13,110
5,3,13,180
6,3,13,228
7,3,13,131
8,3,13,74
9,3,13,189
10,3,14,96
11,3,14,140.8676471
12,3,14,135.9852941
13,3,14,87.55319149
14,3,14,80.34285714
15,3,14,239.5774648
16,3,14,172.5362319
17,3,14,70
18,3,14,73
19,3,14,171
20,3,14,179
21,3,14,80
22,3,14,86.86956522
23,3,14,93
24,3,14,131
25,3,14,77.59090909
26,3,14,74.66666667
27,3,14,76
28,3,14,81
29,3,14,70.11111111
30,3,14,61
31,3,14,100
2,3,16,479
3,3,16,183
4,3,16,220
5,3,16,170
6,3,16,300
7,3,16,78
8,3,16,74
9,3,16,429
10,3,16,88.34146341
11,3,16,204
12,3,16,140
13,3,16,99
14,3,16,71
15,3,16,320
16,3,17,250
17,3,17,75.85714286
18,3,17,150
19,3,17,130
20,3,17,176
21,3,17,76.23076923
22,3,17,86.86956522
23,3,17,114
24,3,17,130
25,3,17,77.59090909
26,3,17,74.66666667
27,3,17,111
28,3,17,80
29,3,17,70.11111111
30,3,17,95.9047619
31,3,17,1088
2,4,7,120
3,4,7,83
4,4,7,81
5,4,7,120
6,4,7,214
7,4,7,96
8,4,7,74
9,4,7,160
10,4,7,88.34146341
11,4,7,71
12,4,7,80
13,4,7,87.55319149
14,4,7,80.34285714
15,4,7,180
16,4,7,130
17,4,7,75.85714286
18,4,7,90
19,4,7,104
20,4,7,139
21,4,7,76.23076923
22,4,7,86.86956522
23,4,7,101
24,4,7,141
25,4,7,77.59090909
26,4,7,74.66666667
27,4,7,90
28,4,7,80
29,4,7,70.11111111
30,4,7,95.9047619
31,4,8,300
2,4,10,170
3,4,10,500
4,4,10,86
5,4,10,139
6,4,10,300
7,4,10,95
8,4,10,82
9,4,10,101
10,4,10,114
11,4,10,144
12,4,10,160
13,4,10,70
14,4,10,80
15,4,10,275
16,4,10,110
17,4,10,75.85714286
18,4,10,110
19,4,10,180
20,4,10,156
21,4,10,76.23076923
22,4,10,86.86956522
23,4,10,103
24,4,10,100
25,4,10,77.59090909
26,4,11,74.66666667
27,4,11,105
28,4,11,80
29,4,11,70.11111111
30,4,11,95.9047619
31,4,11,370
2,4,17,90
3,4,17,170
4,4,17,140
5,4,18,276
6,4,18,188
7,4,18,130
8,4,18,74
9,4,18,160
10,4,18,100
11,4,18,170
12,4,18,170
13,4,18,87.55319149
14,4,18,90
15,4,18,251
16,4,18,111
17,4,18,75.85714286
18,4,18,75
19,4,18,117
20,4,18,188
21,4,18,76.23076923
22,4,18,86.86956522
23,4,18,137
24,4,18,101
25,4,18,61
26,4,18,70
27,4,18,77
28,4,18,78.85185185
29,4,18,70.11111111
30,4,18,95.9047619
31,4,19,881
2,5,8,80
3,5,8,81
4,5,8,124
5,5,8,120
6,5,8,220
7,5,8,84
8,5,8,74
10,5,8,88.34146341
9,5,8,190
11,5,8,140.8676471
12,5,8,135.9852941
13,5,8,87.55319149
14,5,8,70
15,5,8,225
16,5,8,230
17,5,8,75.85714286
18,5,8,86
19,5,8,120
20,5,8,136
21,5,8,76.23076923
22,5,8,86.86956522
23,5,8,100
24,5,9,160
25,5,9,77.59090909
26,5,9,64
27,5,9,80
28,5,9,80
29,5,9,70.11111111
30,5,9,95.9047619
31,5,9,120
2,5,10,175.1489362
3,5,10,167
4,5,10,135.9848485
5,5,10,180
6,5,10,200
7,5,10,105
8,5,10,74
9,5,10,140
10,5,10,98
11,5,10,74
12,5,10,170
13,5,10,71
14,5,10,80.34285714
15,5,11,238
16,5,11,200
17,5,11,75.85714286
18,5,11,90
19,5,11,240
20,5,11,193
21,5,11,76.23076923
22,5,11,90
23,5,11,100
24,5,11,140
25,5,11,77.59090909
26,5,11,74.66666667
27,5,11,120
28,5,11,80
29,5,11,70.11111111
30,5,11,95.9047619
31,5,11,400
2,5,13,110
3,5,13,200
4,5,13,104
5,5,13,260
6,5,13,214
7,5,13,86
8,5,13,74
9,5,13,130
10,5,13,90
11,5,13,190
12,5,13,131
13,5,13,80
14,5,13,110
15,5,13,232
16,5,13,110
17,5,13,70
18,5,13,80
19,5,13,120
20,5,13,148
21,5,13,76.23076923
22,5,13,86.86956522
23,5,13,160
24,5,13,160
25,5,13,77.59090909
26,5,13,74.66666667
27,5,13,101
28,5,13,78.85185185
29,5,13,70.11111111
30,5,13,95.9047619
31,5,14,621
2,5,15,130
3,5,15,220
4,5,15,171
5,5,15,405
6,5,15,241
7,5,15,240
8,5,15,74
9,5,15,237
10,5,15,88.34146341
11,5,15,240
12,5,15,130
13,5,15,87.55319149
14,5,15,120
15,5,16,270
16,5,16,240
17,5,16,75.85714286
18,5,16,90
19,5,16,100
20,5,16,130
21,5,16,76.23076923
22,5,16,110
23,5,16,70
24,5,16,120
25,5,16,77.59090909
26,5,16,74.66666667
27,5,16,110
28,5,16,81
29,5,16,70.11111111
30,5,16,70
31,5,16,150
2,6,7,175.1489362
3,6,7,90
4,6,7,82
5,6,7,110
6,6,7,220
7,6,7,86
8,6,7,74
9,6,7,110
10,6,7,80
11,6,7,130
12,6,7,110
13,6,7,87.55319149
14,6,7,80.34285714
15,6,7,219
16,6,8,160
17,6,8,75.85714286
18,6,8,90
19,6,8,100
20,6,8,140
21,6,8,76.23076923
22,6,8,70
23,6,8,120
24,6,8,150
25,6,8,77.59090909
26,6,8,74.66666667
27,6,8,67
28,6,8,75
29,6,8,70.11111111
30,6,8,80
31,6,8,470
2,0,6,175.1489362
3,0,6,167
4,0,6,91
5,0,6,101
6,0,6,175
7,0,6,93
8,0,6,74
9,0,6,100
10,0,6,88.34146341
11,0,6,86
12,0,6,100
13,0,6,87.55319149
14,0,6,70
15,0,6,217
16,0,6,160
17,0,6,75.85714286
18,0,6,71
19,0,6,169
20,0,6,146
21,0,6,76.23076923
22,0,6,86.86956522
23,0,6,96
24,0,6,140
25,0,6,77.59090909
26,0,6,74.66666667
27,0,6,70
28,0,6,80
29,0,6,70.11111111
30,0,6,95.9047619
31,0,6,270
2,0,8,150
3,0,8,64
4,0,8,220
5,0,8,120
6,0,8,172
7,0,8,110
8,0,8,74
9,0,8,140
10,0,8,88.34146341
11,0,9,162
12,0,9,110
13,0,9,100
14,0,9,80.34285714
15,0,9,208
16,0,9,172.5362319
17,0,9,75.85714286
18,0,9,92.4516129
19,0,9,151.2676056
20,0,9,173
21,0,9,76.23076923
22,0,9,80
23,0,9,180
24,0,9,100
25,0,9,77.59090909
26,0,9,74.66666667
27,0,9,100
28,0,9,80
29,0,9,70.11111111
30,0,9,90
31,0,9,70
2,0,10,175.1489362
3,0,10,113
4,0,10,100
5,0,11,140
6,0,11,217
7,0,11,143
8,0,11,74
9,0,11,136
10,0,11,88.34146341
11,0,11,100
12,0,11,120
13,0,11,87.55319149
14,0,11,70
15,0,11,222
16,0,11,280
17,0,11,80
18,0,11,92.4516129
19,0,11,150
20,0,11,145
21,0,11,76.23076923
22,0,11,86.86956522
23,0,11,100
24,0,11,120
25,0,11,77.59090909
26,0,11,74.66666667
28,0,11,78.85185185
27,0,11,110
29,0,11,70.11111111
30,0,11,95.9047619
31,0,11,100
2,0,12,100
3,0,12,75
4,0,12,91
5,0,12,90
6,0,13,175
7,0,13,84
8,0,13,61
9,0,13,207
10,0,13,88.34146341
11,0,13,90
12,0,13,120
13,0,13,90
14,0,13,80.34285714
15,0,13,172
16,0,13,140
17,0,13,75.85714286
18,0,13,80
19,0,13,72
21,0,13,76.23076923
20,0,13,132
22,0,13,86.86956522
23,0,13,92
24,0,13,150
25,0,13,77.59090909
26,0,13,74.66666667
27,0,13,70
28,0,13,70
29,0,13,70.11111111
30,0,13,95.9047619
31,0,13,80
2,0,14,175.1489362
3,0,14,167
4,0,14,135.9848485
5,0,14,130
6,0,15,1174
7,0,15,110
8,0,15,74
9,0,15,105
10,0,15,71
11,0,15,74
12,0,15,119
13,0,15,70
14,0,15,80.34285714
15,0,15,175
16,0,15,130
17,0,15,70
18,0,15,69
19,0,15,162
20,0,15,166
21,0,15,76.23076923
22,0,15,86.86956522
23,0,15,103
24,0,15,110
25,0,15,77.59090909
26,0,15,74.66666667
27,0,15,110
28,0,15,80
29,0,15,70.11111111
30,0,15,70
31,0,15,80
2,0,16,175.1489362
3,0,17,490
4,0,17,540
5,0,17,205
6,0,17,306
7,0,17,200
8,0,17,74
9,0,17,180
10,0,17,70
11,0,17,90
12,0,17,130
13,0,17,80
14,0,17,70
15,0,17,230
16,0,17,330
17,0,17,70
18,0,17,90
19,0,17,240
20,0,18,299
21,0,18,130
22,0,18,130
23,0,18,210
24,0,18,210
25,0,18,110
26,0,18,70
27,0,18,130
28,0,18,90
29,0,18,70
30,0,18,70
31,0,18,1078
2,1,8,1093
3,1,8,118
4,1,8,83
5,1,8,79
6,1,8,286
7,1,8,111
8,1,8,74
9,1,8,210
10,1,8,88.34146341
11,1,8,90
12,1,8,120
13,1,8,70
14,1,8,70
15,1,8,266
16,1,9,120
17,1,9,75.85714286
18,1,9,92.4516129
19,1,9,110
20,1,9,191
21,1,9,76.23076923
22,1,9,80
23,1,9,100
24,1,9,150
25,1,9,69
26,1,9,74.66666667
27,1,9,81
28,1,9,80
29,1,9,70.11111111
30,1,9,95.9047619
31,1,9,211
2,1,16,90
3,1,16,167
4,1,16,83
5,1,16,200
6,1,16,187
7,1,16,72
8,1,16,74
9,1,16,150
10,1,16,61
11,1,17,140
12,1,17,141
13,1,17,80
14,1,17,74
15,1,17,228
17,1,17,75.85714286
16,1,17,120
18,1,17,92.4516129
19,1,17,226
21,1,17,76.23076923
20,1,17,147
22,1,17,86.86956522
23,1,17,111
24,1,17,160
25,1,17,61
26,1,17,70
28,1,17,78.85185185
27,1,17,61
29,1,17,70.11111111
30,1,17,95.9047619
31,1,17,1213
2,2,6,200
3,2,6,167
4,2,6,62
5,2,6,182.4705882
6,2,6,166
7,2,6,130.8405797
8,2,6,74
9,2,6,123
10,2,6,88.34146341
11,2,6,62
12,2,6,90
13,2,6,87.55319149
14,2,6,80.34285714
15,2,6,221
16,2,6,169
17,2,6,75.85714286
18,2,6,66
19,2,6,104
20,2,6,142
21,2,6,76.23076923
22,2,6,86.86956522
23,2,6,92
24,2,6,87
25,2,6,77.59090909
26,2,6,74.66666667
27,2,6,67
29,2,6,70.11111111
28,2,6,63
30,2,6,95.9047619
31,2,6,109
2,2,8,159
3,2,8,103
4,2,8,143
5,2,8,180
6,2,8,221
7,2,8,126
8,2,8,74
9,2,8,111
10,2,8,89
11,2,8,140
12,2,8,114
13,2,8,81
14,2,8,80.34285714
15,2,8,353
16,2,8,209
17,2,8,80
18,2,8,111
19,2,8,119
20,2,8,186
21,2,8,76.23076923
22,2,8,86.86956522
23,2,8,108.9
24,2,8,144.3428571
25,2,8,61
26,2,8,74.66666667
27,2,8,101
28,2,8,70
29,2,8,70.11111111
30,2,8,95.9047619
31,2,8,140
2,2,10,175.1489362
3,2,10,167
4,2,10,116
5,2,10,149
6,2,10,182
7,2,10,170
8,2,10,74
9,2,10,100
10,2,10,113
11,2,10,216
12,2,10,181
13,2,10,87.55319149
14,2,10,80.34285714
15,2,10,235
16,2,10,171
17,2,10,75.85714286
18,2,11,80
19,2,11,100
20,2,11,172
21,2,11,61
22,2,11,86.86956522
23,2,11,111
24,2,11,170
25,2,11,69
26,2,11,70
27,2,11,70
28,2,11,80
29,2,11,61
30,2,11,95.9047619
31,2,11,109
2,2,14,130
3,2,14,132
4,2,14,121
5,2,14,189
6,2,14,200
7,2,14,170
8,2,14,74
9,2,14,190
10,2,14,88.34146341
11,2,14,150
12,2,14,130
13,2,14,87.55319149
14,2,14,101
15,2,14,225
16,2,14,172.5362319
17,2,14,75.85714286
18,2,14,92.4516129
19,2,14,180
20,2,14,160
21,2,14,76.23076923
22,2,15,70
23,2,15,90
24,2,15,165
25,2,15,90
26,2,15,74.66666667
27,2,15,91
28,2,15,90
29,2,15,70.11111111
30,2,15,95.9047619
31,2,15,110
2,2,16,110
3,2,17,226
4,2,17,304
5,2,17,191
6,2,17,245
7,2,17,196
8,2,17,74
9,2,17,190
10,2,17,88.34146341
11,2,17,220
12,2,17,121
13,2,17,87.55319149
14,2,17,70
15,2,17,238
16,2,17,210
17,2,17,81
18,2,17,70
19,2,17,250
20,2,17,260
21,2,17,70
22,2,17,79
23,2,17,120
24,2,17,181
25,2,17,110
26,2,17,79
27,2,18,121
28,2,18,90
29,2,18,70
30,2,18,95.9047619
31,2,18,530
2,3,8,370
3,3,8,97
4,3,8,101
5,3,8,121
6,3,8,230
7,3,8,130
8,3,8,74
9,3,8,283
10,3,8,88.34146341
11,3,8,170
12,3,8,150
13,3,8,110
14,3,8,80.34285714
15,3,8,245
16,3,8,140
17,3,8,70
18,3,8,100
19,3,8,129
20,3,8,254
21,3,8,70
22,3,8,86.86956522
23,3,8,110
24,3,8,100
25,3,8,110
26,3,8,74.66666667
27,3,8,95
28,3,8,80
29,3,8,70.11111111
30,3,8,95.9047619
31,3,9,390
2,3,10,90
3,3,10,116
4,3,10,178
5,3,10,150
6,3,10,336
7,3,10,95
8,3,10,74
9,3,10,112
10,3,10,71
11,3,10,164
12,3,10,180
13,3,10,110
14,3,10,80.34285714
15,3,10,270
16,3,10,280
17,3,10,61
18,3,10,112
19,3,10,171
20,3,11,201
21,3,11,70
22,3,11,100
23,3,11,110
24,3,11,170
25,3,11,61
26,3,11,75
27,3,11,91
28,3,11,80
29,3,11,70.11111111
30,3,11,95.9047619
31,3,11,440
2,3,12,90
3,3,12,98
4,3,13,101
5,3,13,180
6,3,13,215
7,3,13,160
8,3,13,74
9,3,13,208
10,3,13,88.34146341
11,3,13,113
12,3,13,140
13,3,13,87.55319149
14,3,13,80.34285714
15,3,13,215
16,3,13,220
17,3,13,75.85714286
18,3,13,110
19,3,13,168
20,3,13,185
21,3,13,76.23076923
22,3,13,80
23,3,13,120
24,3,13,180
25,3,13,67
26,3,13,61
27,3,13,107
28,3,13,91
29,3,13,70.11111111
30,3,13,95.9047619
31,3,13,130
2,3,15,90
3,3,15,93
4,3,15,92
5,3,15,230
6,3,15,246
7,3,15,134
8,3,15,74
9,3,15,175
10,3,15,88.34146341
11,3,15,145
12,3,15,138
13,3,15,90
14,3,15,68
15,3,15,200
16,3,15,125
17,3,15,90
18,3,15,141
19,3,15,160
20,3,15,192
21,3,15,80
22,3,15,100
23,3,15,118
24,3,15,170
25,3,15,65
26,3,15,100
27,3,15,120
28,3,15,80
29,3,15,80
30,3,15,80
31,3,16,1039
2,3,17,110
3,3,17,340
4,3,17,310
5,3,17,230
6,3,17,315
7,3,17,180
8,3,17,79
9,3,17,140
10,3,17,88.34146341
11,3,17,331
12,3,18,160
13,3,18,80
14,3,18,78
15,3,18,202
16,3,18,200
17,3,18,70
18,3,18,92.4516129
19,3,18,161
20,3,18,211
21,3,18,76.23076923
22,3,18,86.86956522
23,3,18,170
24,3,18,181
25,3,18,80
26,3,18,74.66666667
27,3,18,80
29,3,18,70.11111111
28,3,18,81
30,3,18,95.9047619
31,3,18,90
2,4,5,175.1489362
3,4,6,167
4,4,6,131
5,4,6,98
6,4,6,159
7,4,6,127
8,4,6,74
9,4,6,84
10,4,6,88.34146341
11,4,6,125
12,4,6,90
13,4,6,87.55319149
14,4,6,80.34285714
15,4,6,159
16,4,6,160
17,4,6,75.85714286
18,4,6,70
19,4,6,166
21,4,6,76.23076923
20,4,6,106
22,4,6,86.86956522
23,4,6,94
24,4,6,100
25,4,6,77.59090909
26,4,6,74.66666667
28,4,6,78.85185185
27,4,6,71
29,4,6,70.11111111
30,4,6,95.9047619
31,4,6,130
2,4,10,110
3,4,10,130
4,4,10,134
5,4,10,140
6,4,10,290
7,4,10,157
8,4,10,74
9,4,10,155
10,4,10,76
11,4,10,184
12,4,10,170
13,4,10,87.55319149
14,4,10,80.34285714
15,4,10,195
16,4,10,220
17,4,10,88
18,4,10,110
19,4,10,123
20,4,10,241
21,4,10,80
22,4,10,70
23,4,10,121
24,4,10,170
25,4,10,90
26,4,10,80
27,4,10,130
28,4,10,80
29,4,10,70.11111111
30,4,11,95.9047619
31,4,11,131
2,4,12,175.1489362
3,4,12,81
4,4,12,110
5,4,12,108
6,4,12,210
7,4,12,119
8,4,12,74
9,4,12,200
10,4,12,90
11,4,12,140.8676471
12,4,12,135.9852941
13,4,12,87.55319149
14,4,12,80.34285714
15,4,12,263
16,4,12,120
17,4,12,75.85714286
18,4,12,70
19,4,12,150
20,4,12,133
21,4,12,76.23076923
22,4,13,86.86956522
23,4,13,146
24,4,13,120
25,4,13,77.59090909
27,4,13,95.22727273
26,4,13,159
28,4,13,78.85185185
29,4,13,70.11111111
30,4,13,70
31,4,13,80
2,4,14,80
3,4,14,130
4,4,14,160
5,4,14,240
6,4,14,217
7,4,14,160
8,4,14,74
9,4,14,110
10,4,14,88.34146341
11,4,14,171
12,4,14,150
13,4,14,67
14,4,14,80.34285714
15,4,14,228
16,4,14,191
17,4,14,75.85714286
18,4,14,80
19,4,14,120
20,4,14,179
21,4,14,76.23076923
22,4,14,81
23,4,15,92
24,4,15,150
25,4,15,77.59090909
26,4,15,74.66666667
27,4,15,90
29,4,15,70.11111111
28,4,15,90
30,4,15,95.9047619
31,4,15,160
2,4,17,80
3,4,17,610
4,4,17,341
5,4,17,190
6,4,17,230
7,4,17,79
8,4,17,74
9,4,17,166
10,4,17,64
11,4,17,210
12,4,17,135.9852941
13,4,17,100
14,4,17,70
15,4,17,294
16,4,17,190
17,4,17,75.85714286
18,4,17,62
19,4,17,170
20,4,17,207
21,4,17,76.23076923
22,4,17,70
23,4,17,120
24,4,18,190
25,4,18,80
26,4,18,74.66666667
27,4,18,100
28,4,18,90
29,4,18,70.11111111
30,4,18,80
31,4,18,1283
2,6,6,341
3,6,6,167
4,6,6,64
5,6,6,113
6,6,6,154
7,6,6,62
8,6,6,74
9,6,6,74
10,6,6,90
11,6,6,133
12,6,6,90
13,6,6,87.55319149
14,6,6,80.34285714
15,6,6,185
16,6,6,121
17,6,6,75.85714286
18,6,6,70
19,6,6,151
21,6,6,76.23076923
20,6,6,130
22,6,6,86.86956522
23,6,6,94
25,6,6,77.59090909
24,6,6,121
26,6,6,74.66666667
27,6,6,71
28,6,6,67
29,6,6,70.11111111
30,6,6,71
31,6,6,359
2,6,8,70
3,6,8,72
4,6,8,84
5,6,8,142
6,6,8,255
7,6,8,143
8,6,8,74
9,6,8,220
10,6,8,76
11,6,8,121
12,6,8,140
13,6,8,64
14,6,8,80.34285714
15,6,8,257
16,6,8,230
17,6,8,75.85714286
18,6,8,80
19,6,8,183
20,6,8,147
21,6,8,61
22,6,8,86.86956522
23,6,8,102
24,6,8,161
25,6,8,77.59090909
26,6,8,74.66666667
28,6,8,78.85185185
27,6,8,135
29,6,8,70.11111111
30,6,8,95.9047619
31,6,9,110
2,6,10,175.1489362
3,6,10,103
4,6,10,120
5,6,10,311
6,6,10,330
7,6,10,159
8,6,10,74
9,6,10,120
10,6,10,88.34146341
11,6,10,191
12,6,10,160
13,6,10,87.55319149
14,6,10,80.34285714
15,6,10,249
16,6,10,252
17,6,10,75.85714286
18,6,10,91
19,6,10,166
20,6,10,134
21,6,10,76.23076923
22,6,11,99
23,6,11,86
24,6,11,165
25,6,11,77.59090909
26,6,11,74.66666667
27,6,11,91
28,6,11,78.85185185
29,6,11,70.11111111
30,6,11,70
31,6,11,310
2,6,17,175.1489362
3,6,17,81
4,6,17,100
5,6,17,280
6,6,17,202
7,6,17,159
8,6,17,74
9,6,17,200
10,6,17,88.34146341
11,6,17,90
12,6,17,160
13,6,18,89
14,6,18,81
15,6,18,220
16,6,18,114
17,6,18,75.85714286
18,6,18,120
19,6,18,170
20,6,18,150
21,6,18,76.23076923
22,6,18,86.86956522
23,6,18,111
24,6,18,160
25,6,18,77.59090909
26,6,18,74.66666667
27,6,18,99
29,6,18,70.11111111
28,6,18,71
30,6,18,95.9047619
31,6,18,822
2,0,7,80
3,0,7,101
4,0,7,120
5,0,8,93
6,0,8,228
7,0,8,162
8,0,8,74
9,0,8,85
10,0,8,167
11,0,8,84
12,0,8,140
13,0,8,70
14,0,8,73
15,0,8,214
16,0,8,200
